x,y
8.88E-07,1.26577686032584E-05
1.776E-06,1.26511864684033E-05
2.664E-06,1.26451698709317E-05
3.552E-06,1.2640115946909E-05
4.44E-06,1.26363660623184E-05
5.328E-06,1.26339908648323E-05
6.216E-06,1.2632528837001E-05
7.104E-06,1.26312043921213E-05
7.992E-06,1.26295196417084E-05
8.88E-06,1.26273804231855E-05
9.768E-06,1.26248775755448E-05
1.0656E-05,1.26221580998162E-05
1.1544E-05,1.26193976317304E-05
1.2432E-05,1.26167912245363E-05
1.332E-05,1.26145325795786E-05
1.4208E-05,1.26127643504336E-05
1.5096E-05,1.26114819012068E-05
1.5984E-05,1.26104553872383E-05
1.6872E-05,1.26093385420019E-05
1.776E-05,1.26079220942934E-05
1.8648E-05,1.26062346592031E-05
1.9536E-05,1.26044492289991E-05
2.0424E-05,1.26027675101599E-05
2.1312E-05,1.26013459064559E-05
2.22E-05,1.26002426536204E-05
2.3088E-05,1.25993894321986E-05
2.3976E-05,1.25986177101112E-05
2.4864E-05,1.25977304316836E-05
2.5752E-05,1.25965699449208E-05
2.664E-05,1.25950644085069E-05
2.7528E-05,1.2593251082607E-05
2.8416E-05,1.25912560850917E-05
2.9304E-05,1.25892298714346E-05
3.0192E-05,1.25872709952473E-05
3.108E-05,1.25853814745567E-05
3.1968E-05,1.25834891626967E-05
3.2856E-05,1.25815320242587E-05
3.3744E-05,1.25795456363084E-05
3.4632E-05,1.25776885265207E-05
3.552E-05,1.25761647170731E-05
3.6408E-05,1.25750287010929E-05
3.7296E-05,1.25740140782267E-05
3.8184E-05,1.25727072579748E-05
3.9072E-05,1.25709218856972E-05
3.996E-05,1.25687478983681E-05
4.0848E-05,1.2566348432714E-05
4.1736E-05,1.25638200027747E-05
4.2624E-05,1.25611806336861E-05
4.3512E-05,1.25584243413981E-05
4.44E-05,1.25555721239015E-05
4.5288E-05,1.25526816635683E-05
4.6176E-05,1.25498168500491E-05
4.7064E-05,1.25469959282918E-05
4.7952E-05,1.25441476412038E-05
4.884E-05,1.25411211990981E-05
4.9728E-05,1.25377726478756E-05
5.0616E-05,1.25340710875912E-05
5.1504E-05,1.25301488440796E-05
5.2392E-05,1.25262968433055E-05
5.328E-05,1.25229496579352E-05
5.4168E-05,1.25206603715321E-05
5.5056E-05,1.25199536159861E-05
5.5944E-05,1.25208319549472E-05
5.6832E-05,1.25221784724892E-05
5.772E-05,1.25223366784345E-05
5.8608E-05,1.25204591637204E-05
5.9496E-05,1.25166208952082E-05
6.0384E-05,1.25112034375974E-05
6.1272E-05,1.25045333820111E-05
6.216E-05,1.24967705393151E-05
6.3048E-05,1.2487844651612E-05
6.3936E-05,1.24773629120878E-05
6.4824E-05,1.24647703692307E-05
6.5712E-05,1.24508508980506E-05
6.66E-05,1.24383890260993E-05
6.7488E-05,1.24285743863359E-05
6.8376E-05,1.24209959565559E-05
6.9264E-05,1.24152829817117E-05
7.0152E-05,1.24112015665624E-05
7.104E-05,1.24083133107457E-05
7.1928E-05,1.24059169568069E-05
7.2816E-05,1.24033451723523E-05
7.3704E-05,1.24001365839949E-05
7.4592E-05,1.23960562736123E-05
7.548E-05,1.23911115711168E-05
7.6368E-05,1.2385472843463E-05
7.7256E-05,1.23793595965851E-05
7.8144E-05,1.23729920820393E-05
7.9032E-05,1.23666076717767E-05
7.992E-05,1.23605132343488E-05
8.0808E-05,1.23551675214822E-05
8.1696E-05,1.2351285060371E-05
8.2584E-05,1.2349721196619E-05
8.3472E-05,1.23502346268512E-05
8.436E-05,1.23504223621296E-05
8.5248E-05,1.2348786295821E-05
8.6136E-05,1.23457593278055E-05
8.7024E-05,1.23419521509421E-05
8.7912E-05,1.23375879886332E-05
8.88E-05,1.23326352178113E-05
8.9688E-05,1.23270232769675E-05
9.0576E-05,1.23207413567804E-05
9.1464E-05,1.23137926300151E-05
9.2352E-05,1.23060707031763E-05
9.324E-05,1.22972113748704E-05
9.4128E-05,1.22866699425155E-05
9.5016E-05,1.22749989457346E-05
9.5904E-05,1.22647209587617E-05
9.6792E-05,1.22570121029245E-05
9.768E-05,1.22511976675161E-05
9.8568E-05,1.22464254003439E-05
9.9456E-05,1.22420696745862E-05
0.000100344,1.2237732324606E-05
0.000101232,1.22332209917047E-05
0.00010212,1.22284934678505E-05
0.000103008,1.22235863106246E-05
0.000103896,1.22185592195546E-05
0.000104784,1.22134634652994E-05
0.000105672,1.2208329250589E-05
0.00010656,1.22031654136209E-05
0.000107448,1.21979663496611E-05
0.000108336,1.21927209484633E-05
0.000109224,1.21874177706356E-05
0.000110112,1.21820450552849E-05
0.000111,1.21765923165992E-05
0.000111888,1.21710599196974E-05
0.000112776,1.2165470205014E-05
0.000113664,1.21598657565347E-05
0.000114552,1.21542906482738E-05
0.00011544,1.21487671804575E-05
0.000116328,1.21432850985197E-05
0.000117216,1.21378075500667E-05
0.000118104,1.21322805609316E-05
0.000118992,1.21266307750498E-05
0.00011988,1.21207478381472E-05
0.000120768,1.2114437239821E-05
0.000121656,1.21072306865643E-05
0.000122544,1.2097429971404E-05
0.000123432,1.20790780387494E-05
0.00012432,1.20611488135579E-05
0.000125208,1.20521643253115E-05
0.000126096,1.20459788324969E-05
0.000126984,1.2040605012054E-05
0.000127872,1.20353045103136E-05
0.00012876,1.20297670452568E-05
0.000129648,1.20239097199693E-05
0.000130536,1.20177536809123E-05
0.000131424,1.20113505847328E-05
0.000132312,1.20047527388996E-05
0.0001332,1.19980063048352E-05
0.000134088,1.19911511972248E-05
0.000134976,1.19842197148984E-05
0.000135864,1.1977232201537E-05
0.000136752,1.1970191659316E-05
0.00013764,1.19630802791192E-05
0.000138528,1.19558594278727E-05
0.000139416,1.19484718135227E-05
0.000140304,1.19408424818794E-05
0.000141192,1.19328754702549E-05
0.00014208,1.19244447567496E-05
0.000142968,1.19153812828095E-05
0.000143856,1.19054683836316E-05
0.000144744,1.18944953326507E-05
0.000145632,1.18824787616572E-05
0.00014652,1.18699947172012E-05
0.000147408,1.18579988089455E-05
0.000148296,1.18471011177757E-05
0.000149184,1.18373896061665E-05
0.000150072,1.18287294846148E-05
0.00015096,1.18209381045482E-05
0.000151848,1.18138093346247E-05
0.000152736,1.1807116079844E-05
