x,y
8.88e-07,1.268258377202491e-05
3.718314381270903e-06,1.2674963441456804e-05
6.548628762541806e-06,1.2667095087028242e-05
9.37894314381271e-06,1.2658973278269117e-05
1.2209257525083612e-05,1.2650592660694274e-05
1.5039571906354515e-05,1.2641947955803511e-05
1.7869886287625417e-05,1.2633033961081576e-05
2.070020066889632e-05,1.2623845549998172e-05
2.3530515050167223e-05,1.2614377672007954e-05
2.6360829431438125e-05,1.260462535255053e-05
2.9191143812709028e-05,1.259458369305046e-05
3.2021458193979934e-05,1.2584247870917254e-05
3.485177257525084e-05,1.257361313954538e-05
3.768208695652174e-05,1.2562674828314252e-05
4.0512401337792644e-05,1.2551428342588244e-05
4.3342715719063544e-05,1.2539869163716675e-05
4.617303010033445e-05,1.2527992849033821e-05
4.9003344481605355e-05,1.2515795031858911e-05
5.1833658862876255e-05,1.2503271421496122e-05
5.466397324414716e-05,1.249041780323459e-05
5.749428762541806e-05,1.2477230038348397e-05
6.0324602006688966e-05,1.2463704064096582e-05
6.315491638795986e-05,1.2449835893723134e-05
6.598523076923076e-05,1.2435621616456997e-05
6.881554515050167e-05,1.2421057397512065e-05
7.164585953177258e-05,1.2406139478087186e-05
7.447617391304347e-05,1.239086417536616e-05
7.730648829431437e-05,1.237522788251774e-05
8.013680267558528e-05,1.235922706869563e-05
8.296711705685619e-05,1.2342858279038487e-05
8.579743143812708e-05,1.2326118134669924e-05
8.862774581939798e-05,1.23090033326985e-05
9.145806020066889e-05,1.2291510646217734e-05
9.42883745819398e-05,1.2273636924306092e-05
9.71186889632107e-05,1.2255379092026993e-05
9.99490033444816e-05,1.2236734150428812e-05
0.0001027793177257525,1.2217699176544872e-05
0.0001056096321070234,1.2198271323393451e-05
0.00010843994648829431,1.217844781997778e-05
0.0001112702608695652,1.2158225971286043e-05
0.00011410057525083611,1.2137603158291373e-05
0.00011693088963210702,1.2116576837951859e-05
0.00011976120401337792,1.2095144543210541e-05
0.00012259151839464884,1.2073303882995412e-05
0.00012542183277591972,1.2051052542219416e-05
0.00012825214715719063,1.2028388281780452e-05
0.00013108246153846153,1.2005308938561371e-05
0.00013391277591973244,1.1981812425429976e-05
0.00013674309030100334,1.1957896731239019e-05
0.00013957340468227425,1.1933559920826212e-05
0.00014240371906354516,1.1908800135014214e-05
0.00014523403344481603,1.1883615590610638e-05
0.00014806434782608694,1.1858004580408048e-05
0.00015089466220735785,1.1831965473183964e-05
0.00015372497658862875,1.1805496713700856e-05
0.00015655529096989966,1.1778596822706144e-05
0.00015938560535117056,1.1751264396932208e-05
0.00016221591973244147,1.1723498109096375e-05
0.00016504623411371238,1.1695296707900922e-05
0.00016787654849498328,1.1666659018033087e-05
0.00017070686287625416,1.163758394016505e-05
0.00017353717725752507,1.1608070450953954e-05
0.00017636749163879597,1.1578117603041888e-05
0.00017919780602006688,1.1547724525055893e-05
0.00018202812040133778,1.1516890421607969e-05
0.0001848584347826087,1.1485614573295059e-05
0.0001876887491638796,1.1453896336699067e-05
0.0001905190635451505,1.1421735144386846e-05
0.0001933493779264214,1.13891305049102e-05
