4.1702,0.26004
5.1417,0.27647
5.8468,0.33051
8.295,0.34928
9.189,0.36425
9.753,0.3807
11.493,0.41946
13.038,0.44647
14.137,0.46585
14.826,0.47995
15.885,0.50197
16.98,0.52341
18.236,0.54338
19.493,0.55718
20.492,0.56981
21.49,0.58096
22.378,0.59536
23.92,0.61121
25.507,0.62443
27.722,0.64792
30.059,0.66877
32.982,0.68873
34.838,0.71135
42.546,0.74394
46.907,0.77977
62.708,0.82615
82.252,0.88899
97.86,0.91277
115.59,0.93215
139.84,0.94124
159.01,0.95679
195.59,0.9697
228.85,0.97527
303.04,0.98611
391.86,0.98991
544.19,0.994
708.71,0.99603
901.3,0.99542
1007.9,0.99659
