0.00106,9.1796
0.00426,9.4209
0.01489,10.0107
0.02128,10.815
0.03085,11.7534
0.04468,14.0322
0.06489,17.4102
0.08404,20.7078
0.10638,23.5764
0.12234,25.185
0.13298,25.9357
0.14681,26.5255
0.15532,26.8472
0.16915,26.874
0.19043,26.4718
0.20745,25.4799
0.22766,24.1662
0.24574,22.7453
0.26809,20.681
0.28936,18.8579
0.30957,17.6247
0.32234,16.9544
0.33511,16.3914
0.34574,16.1233
0.36596,16.0697
0.39255,16.6059
0.41809,17.571
0.45213,19.0992
0.47766,20.0643
0.50106,20.681
0.53298,20.9759
0.56809,20.7614
0.59043,20.4129
0.61915,19.7694
0.65,19.1528
0.67447,18.6971
0.70319,18.3753
0.73617,18.3217
0.76383,18.5362
0.79574,18.8847
0.82447,19.2064
0.88298,19.6622
0.90851,19.6622
0.95213,19.5282
0.98723,19.3405
1.01064,19.2064
1.04362,18.992
1.06596,18.9651
1.08936,18.992
